n;height average;height variance;average depth average;average depth variance;average leaf depth average;average leaf depth variance;leaf depth variance average;leaf depth variance variance;
16;="5.75";="1.6428571428571428";="3.078125";="0.16043526785714285";="4.779411764705882";="0.14211566979733073";="2.1911764705882355";="1.6706005931784476";
24;="7.375";="0.8392857142857143";="4.015625";="0.2926277281746031";="5.775";="0.26968571428571425";="3.3108333333333335";="2.223761111111112";
32;="7.75";="0.5";="4.27734375";="0.15888323102678573";="6.087121212121213";="0.14939984258166067";="2.92376893939394";="1.1587196539256204";
48;="8.875";="1.2678571428571428";="4.835937500000001";="0.10298084077380955";="6.696428571428571";="9.88204319628726e-2";="3.367134353741496";="1.3124309460178634";
64;="9.75";="1.9285714285714286";="5.18359375";="6.959751674107142e-2";="7.073076923076924";="6.747252747252752e-2";="3.3213341346153844";="1.2369461867009197";
96;="10.75";="0.5";="5.996093750000001";="0.12750922309027787";="7.913659793814434";="0.12489371877989167";="3.7635577749140894";="0.8949856066641159";
128;="12.5";="2.5714285714285716";="6.90625";="0.5488106863839286";="8.837209302325581";="0.5403349730012793";="5.127664728682169";="4.232283699039373";
192;="14.375";="1.9821428571428572";="7.527994791666667";="0.19063071599082343";="9.478626943005182";="0.1886603858972242";="6.0510511118307395";="1.961093823638968";
256;="15.75";="1.6428571428571428";="8.3974609375";="0.3114438738141741";="10.357003891050585";="0.30902490142599776";="6.690441087062253";="1.1465062518176625";
384;="16.0";="1.4285714285714286";="8.627278645833334";="0.23928191169859875";="10.599675324675326";="0.2380405030961617";="6.473919439935068";="1.9918799543793875";
512;="19.125";="2.6964285714285716";="9.76123046875";="0.45625059945242746";="11.738304093567253";="0.45447357835785057";="9.28098729897661";="7.872703972951611";
768;="19.75";="2.2142857142857144";="10.486165364583334";="0.546390079316639";="12.469928478543562";="0.544969962751783";="9.50469782861942";="4.96620892482053";
1024;="20.875";="3.8392857142857144";="11.114501953125";="0.49511657442365375";="13.101707317073169";="0.4941509645619102";="9.92231969321646";="5.86340654669812";
1536;="22.375";="3.125";="11.560709635416666";="0.27130572001139347";="13.55188679245283";="0.27095280203897";="10.20440389235663";="5.740867345497507";
2048;="24.625";="10.553571428571429";="12.08941650390625";="0.39634278416633606";="14.082540263543192";="0.3959560139681749";="10.657844599309136";="12.966023525396077";
3072;="24.875";="3.5535714285714284";="13.0364990234375";="0.3640156227444849";="15.031605922551254";="0.3637787490740069";="11.384000550408768";="4.955660185731362";
4096;="26.125";="6.696428571428571";="13.515472412109375";="0.5427223263042313";="15.51168537954601";="0.5424574221830741";="12.211925906031656";="6.210778359874126";
