n;height average;height variance;average depth average;average depth variance;average leaf depth average;average leaf depth variance;leaf depth variance average;leaf depth variance variance;
16;="5.875";="0.9821428571428571";="3.203125";="0.14704241071428573";="4.897058823529413";="0.1302521008403361";="2.3676470588235294";="1.151986529906081";
24;="7.125";="0.6964285714285714";="3.5625000000000004";="5.6051587301587345e-2";="5.34";="5.1657142857142825e-2";="2.4575";="0.7329039682539686";
32;="8.25";="2.7857142857142856";="4.4140625";="0.12799944196428573";="6.21969696969697";="0.12035943854125665";="3.6306818181818197";="3.0435852026761134";
48;="9.625";="0.8392857142857143";="4.921874999999999";="0.18908110119047614";="6.780612244897958";="0.18144225620277268";="3.783588435374149";="1.13572201232291";
64;="10.375";="2.5535714285714284";="5.6640625";="0.34061104910714285";="7.546153846153846";="0.33021132713440426";="4.540324519230768";="4.1686571770326974";
96;="11.0";="1.1428571428571428";="6.266927083333334";="0.49695986793154784";="8.181701030927835";="0.4867660902175728";="4.251127577319588";="3.7909552223670917";
128;="13.0";="2.2857142857142856";="6.888671875";="0.11950247628348214";="8.819767441860463";="0.1176569059208324";="5.857648982558139";="2.102132284066232";
192;="15.25";="3.9285714285714284";="7.690755208333333";="0.19294811430431555";="9.640544041450777";="0.19095383193412632";="6.878595908894649";="5.12176367212176";
256;="14.875";="5.267857142857143";="8.00634765625";="0.46942111424037386";="9.96741245136187";="0.46577513880387494";="6.322698808365756";="6.730169452085028";
384;="16.375";="0.8392857142857143";="8.729817708333332";="0.24811226981026785";="10.701948051948051";="0.24682504879165382";="6.863670183982682";="1.9484854841588384";
512;="18.0";="2.2857142857142856";="9.45068359375";="0.1616600581577846";="11.428362573099415";="0.16103041880204105";="8.267255459612565";="3.177930875947811";
768;="20.125";="4.410714285714286";="10.92529296875";="1.0891500503297837";="12.908485045513654";="1.0863192521754297";="10.237601000352194";="9.15079516984459";
1024;="20.75";="8.214285714285714";="10.7999267578125";="0.2989813770566668";="12.787439024390244";="0.29839828333474994";="9.434020817454249";="11.951908600118868";
1536;="22.125";="2.6964285714285716";="11.736083984375";="0.8429549610804";="13.727147039687702";="0.8418584344177992";="9.982912062357627";="10.92104028329698";
2048;="23.125";="2.6964285714285716";="12.15191650390625";="0.3119925388268062";="14.145009760858956";="0.3116880816223676";="10.024522072981524";="2.3019010961086983";
3072;="25.125";="2.4107142857142856";="13.035929361979168";="0.29589801175253744";="15.03103644646925";="0.2957054638404378";="11.150732379503262";="4.472738891018105";
4096;="26.0";="2.857142857142857";="13.393218994140625";="0.24786119695220674";="15.389461801318035";="0.2477402152837449";="11.532000075441104";="3.97967035298256";
