n;height average;height variance;average depth average;average depth variance;average leaf depth average;average leaf depth variance;leaf depth variance average;leaf depth variance variance;
16;="5.625";="0.8392857142857143";="2.96875";="7.924107142857142e-2";="4.676470588235294";="7.019278299555114e-2";="1.8547794117647058";="0.660973028917449";
24;="6.25";="0.7857142857142857";="3.4270833333333335";="4.8983134920634906e-2";="5.21";="4.5142857142857144e-2";="1.8295833333333333";="0.7957442460317461";
32;="7.125";="0.6964285714285714";="3.91015625";="5.787876674107143e-2";="5.731060606060606";="5.442411124229304e-2";="2.1223958333333335";="0.5394980010125605";
48;="8.375";="0.5535714285714286";="4.697916666666666";="0.1537698412698412";="6.561224489795919";="0.14755756530017258";="2.671662414965986";="1.137240360642556";
64;="9.75";="1.0714285714285714";="5.2578125";="0.16845703125";="7.146153846153846";="0.16331360946745552";="3.4659855769230767";="1.8451896495931963";
96;="11.125";="1.8392857142857142";="5.868489583333333";="0.11120217943948411";="7.787371134020619";="0.10892116970074248";="3.8879671391752586";="1.7677591903930572";
128;="12.125";="1.2678571428571428";="6.416015625";="7.215663364955358e-2";="8.35077519379845";="7.104226222668611e-2";="4.481316618217053";="1.0551584432352752";
192;="12.25";="1.3571428571428572";="7.194010416666668";="0.650915721106151";="9.146373056994818";="0.6441879551895925";="4.1293110427461155";="3.218043449091005";
256;="14.875";="1.8392857142857142";="7.912109375";="0.22037615094866073";="9.873540856031129";="0.2186644980025653";="5.631710542315173";="1.7234625313407648";
384;="16.0";="1.7142857142857142";="8.564453125";="0.27467709495907705";="10.537012987012988";="0.27325205406838043";="5.803179112554105";="2.462430635452733";
512;="16.125";="2.982142857142857";="9.089599609375";="0.23492588315691268";="11.067982456140351";="0.23401088545491935";="6.350024366471751";="3.7860501234629282";
768;="18.0";="4.0";="9.987304687499998";="0.372271704295325";="11.971716514954485";="0.3713041369219237";="7.153377035245982";="3.372896537482324";
1024;="20.75";="5.642857142857143";="10.9483642578125";="1.1197957822254725";="12.935731707317075";="1.117611880683267";="8.868928877667706";="6.8792473583593665";
1536;="20.625";="1.125";="11.241780598958334";="0.23491098767235158";="13.233165256994143";="0.23460541243617264";="8.977896775374106";="4.024190106515735";
2048;="22.0";="2.5714285714285716";="11.43017578125";="0.181964601789202";="13.423621278672522";="0.1817870320493104";="8.15472427003261";="3.118834444564775";
3072;="24.25";="7.928571428571429";="13.235921223958334";="0.782849107469831";="15.230963228115847";="0.7823396888352148";="11.733059966805984";="13.448004855113519";
4096;="24.75";="3.642857142857143";="13.407379150390625";="0.4408519427691187";="15.403618501342445";="0.4406367618362556";="10.626175206086486";="5.934697040119473";
